Ep: 17, steps: 4, D loss: 0.266170, acc:  48%, G loss: 3.040889
Ep: 17, steps: 5, D loss: 0.211538, acc:  72%, G loss: 3.004466
Ep: 17, steps: 6, D loss: 0.347598, acc:  21%, G loss: 3.219758
Ep: 17, steps: 7, D loss: 0.226433, acc:  67%, G loss: 2.757752
Ep: 17, steps: 8, D loss: 0.213698, acc:  62%, G loss: 2.371598
Ep: 17, steps: 9, D loss: 0.255395, acc:  55%, G loss: 3.404366
Ep: 17, steps: 10, D loss: 0.245319, acc:  52%, G loss: 3.359414
Ep: 17, steps: 11, D loss: 0.226043, acc:  65%, G loss: 3.107183
Ep: 17, steps: 12, D loss: 0.322504, acc:  31%, G loss: 2.512385
Ep: 17, steps: 13, D loss: 0.233989, acc:  61%, G loss: 2.342498
Ep: 17, steps: 14, D loss: 0.281701, acc:  49%, G loss: 2.456713
